MSW05_Binomial	AdultBodyMass_g	GroundTree	SocialGroupSize	Colonial	ColonialWinter	Hibernation	HibernationType	LitterSize	PopulationDensity_n.km2	AdultBodyMass_REF	GroundTree_REF	SocialGroupSize_REF	Colonial_REF	ColonialWinter_REF	Hibernation_REF
Ammospermophilus harrisii	126.57	Ground	1	Colonial	NonColonial	No	No	4.48	669.1	PanTHERIA	Nowak	ADW	ADW	ADW	ADW
Ammospermophilus insularis	101.99	Ground	NA	NA	NA	No	No	5.4	546.43	PanTHERIA	Nowak	NA	NA	ADW	Wikipedia
Ammospermophilus interpres	112.53	Ground	NA	NA	NA	No	No	4.43	1830	PanTHERIA	Nowak	NA	NA	ADW	Wikipedia
Ammospermophilus leucurus	103.92	Ground	1	NonColonial	Colonial	No	No	4.18	NA	PanTHERIA	Nowak	ADW	ADW	ADW	ADW
Ammospermophilus nelsoni	160.42	Ground	7	Colonial	Colonial	No	No	4.89	3824.99	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	Wikipedia
Cynomys gunnisoni	797.93	Ground	5.65	Colonial	Colonial	Yes	Yes	3	85.93	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW
Cynomys leucurus	963.76	Ground	NA	Colonial	Colonial	Yes	Yes	3.13	447.59	PanTHERIA	Nowak	NA	ADW	ADW	ADW
Cynomys ludovicianus	797.05	Ground	6.13	Colonial	Colonial	Yes	Yes	NA	NA	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	http://www.bioone.org/doi/abs/10.1644/05-MAMM-A-169R1.3
Cynomys mexicanus	899.98	Ground	NA	Colonial	Colonial	NA	NA	4.67	NA	PanTHERIA	Nowak	NA	ADW	ADW	NA
Cynomys parvidens	899.98	Ground	NA	Colonial	Colonial	Yes	Yes	4.66	6.9	PanTHERIA	Nowak	NA	ADW	ADW	http://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=2298&context=etd
Glaucomys sabrinus	137.53	Tree	1	NonColonial	Colonial	No	No	4.1	136.7	PanTHERIA	Nowak	ADW	ADW	ADW	ADW
Glaucomys volans	71.9	Tree	2	Colonial	Colonial	No	No	4	NA	PanTHERIA	Nowak	ADW	ADW	ADW	"Jones et al. (2003),ÊBiological correlates of extinction risk in bats "
Marmota broweri	NA	Ground	NA	Colonial	Colonial	Yes	Yes	3.59	NA	NA	Nowak	NA	ADW	ADW	ADW
Marmota caligata	2253.71	Ground	3	Colonial	Colonial	Yes	Yes	NA	NA	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW
Marmota flaviventris	3709.73	Ground	NA	Colonial	NonColonial	Yes	Yes	NA	NA	PanTHERIA	Nowak	NA	ADW	ADW	ADW
Marmota monax	3880.93	Ground	1	Colonial	NonColonial	Yes	Yes	NA	NA	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW
Marmota olympus	6299.99	Ground	3	Colonial	Colonial	Yes	Yes	NA	NA	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW
Marmota vancouverensis	5232.43	Ground	8	Colonial	Colonial	Yes	Yes	NA	NA	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW
Microsciurus alfari	87.49	Tree	NA	NonColonial	NonColonial	NA	NA	3.88	NA	PanTHERIA	Nowak	NA	ADW	ADW	NA
Microsciurus flaviventer	92	Tree	2	NonColonial	NonColonial	NA	NA	5.4	4544.01	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	NA
Microsciurus mimulus	120	Tree	2	NonColonial	NA	NA	NA	NA	NA	PanTHERIA	Nowak	PanTHERIA	PanTHERIA	NA	NA
Microsciurus santanderensis	99.79	Tree	NA	NA	NA	NA	NA	6.71	1100.45	PanTHERIA	Nowak	NA	NA	NA	NA
Sciurillus pusillus	34.91	Tree	1	NonColonial	NA	NA	NA	5.71	2378.64	PanTHERIA	Nowak	PanTHERIA	PanTHERIA	NA	NA
Sciurus aberti	622.95	Tree	NA	NA	NA	No	No	7.5	NA	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus aestuans	177.34	Tree	1	NonColonial	NA	No	No	NA	NA	PanTHERIA	Nowak	PanTHERIA	PanTHERIA	NA	ADW (whole Genus)
Sciurus alleni	465.14	Tree	NA	NA	NA	No	No	3.54	2894.51	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus arizonensis	646.99	Tree	NA	NonColonial	Colonial	No	No	5.75	2834.47	PanTHERIA	Nowak	NA	ADW	ADW	ADW (whole Genus)
Sciurus aureogaster	455.57	Tree	1	NA	NA	No	No	1.94	NA	PanTHERIA	Nowak	PanTHERIA	NA	NA	ADW (whole Genus)
Sciurus carolinensis	545.4	Tree	1	NonColonial	NonColonial	No	No	3.2	114	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW (whole Genus)
Sciurus colliaei	498	Tree	NA	NA	NA	No	No	NA	NA	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus deppei	249.5	Tree	1	NonColonial	NonColonial	No	No	3	NA	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW (whole Genus)
Sciurus flammifer	NA	Tree	NA	NA	NA	No	No	3.09	NA	NA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus gilvigularis	803	Tree	NA	NA	NA	No	No	1.94	221.14	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus granatensis	318.44	Tree	1	NonColonial	NonColonial	No	No	2.98	690	PanTHERIA	Nowak	PanTHERIA	ADW	ADW	ADW (whole Genus)
Sciurus griseus	703.85	Tree	NA	NonColonial	NonColonial	No	No	2.66	NA	PanTHERIA	Nowak	NA	ADW	ADW	ADW (whole Genus)
Sciurus ignitus	190	Tree	1	NonColonial	NA	No	No	2.91	94.11	PanTHERIA	Nowak	PanTHERIA	PanTHERIA	NA	ADW (whole Genus)
Sciurus igniventris	700	Tree	1	NonColonial	NA	No	No	NA	NA	PanTHERIA	Nowak	PanTHERIA	PanTHERIA	NA	ADW (whole Genus)
Sciurus nayaritensis	697	Tree	NA	NA	NA	No	No	NA	NA	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus niger	NA	Tree	NA	NonColonial	NonColonial	No	No	1.9	77.94	NA	Nowak	NA	ADW	ADW	ADW (whole Genus)
Sciurus oculatus	649.98	Tree	NA	NonColonial	NonColonial	No	No	2.65	239.99	PanTHERIA	Nowak	NA	ADW	ADW	ADW (whole Genus)
Sciurus pucheranii	803	Tree	NA	NA	NA	No	No	NA	NA	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus pyrrhinus	482	Tree	NA	NA	NA	No	No	NA	NA	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus richmondi	237.51	Tree	NA	NA	NA	No	No	2.43	NA	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus sanborni	136	Tree	NA	NA	NA	No	No	NA	6.32	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus spadiceus	403.32	Tree	1	NonColonial	NA	No	No	NA	NA	PanTHERIA	Nowak	PanTHERIA	PanTHERIA	NA	ADW (whole Genus)
Sciurus stramineus	433.3	Tree	NA	NA	NA	No	No	NA	NA	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Sciurus variegatoides	485	Tree	NA	NonColonial	NonColonial	No	No	NA	NA	PanTHERIA	Nowak	NA	ADW	ADW	ADW (whole Genus)
Sciurus yucatanensis	225	Tree	NA	NA	NA	No	No	2.59	NA	PanTHERIA	Nowak	NA	NA	NA	ADW (whole Genus)
Spermophilus adocetus	155.52	Ground	NA	NA	NA	NA	NA	NA	NA	PanTHERIA	Nowak	NA	NA	NA	NA
Spermophilus annulatus	499.99	Tree	NA	NA	NA	NA	NA	NA	76.71	PanTHERIA	Nowak	NA	NA	NA	NA
Spermophilus armatus	306.48	Ground	1	Colonial	NA	Yes	Yes	NA	NA	PanTHERIA	Nowak	PanTHERIA	ADW	NA	ADW 
Spermophilus atricapillus	550.99	Ground	NA	NA	NA	NA	NA	4.99	NA	PanTHERIA	Nowak	NA	NA	NA	NA
Spermophilus beecheyi	597.82	Ground	NA	Colonial	NA	Yes	Yes	3	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW 
Spermophilus beldingi	272.53	Ground	NA	Colonial	NA	Yes	Yes	8.69	442.88	PanTHERIA	Nowak	NA	ADW	NA	ADW 
Spermophilus brunneus	300	Ground	NA	Colonial	NA	Yes	Yes	5.18	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
Spermophilus canus	NA	Ground	NA	NA	NA	NA	NA	4.34	NA	NA	Nowak	NA	NA	NA	NA
Spermophilus columbianus	470.94	Ground	NA	Colonial	NonColonial	Yes	Yes	5.91	NA	PanTHERIA	Nowak	NA	ADW	ADW	ADW 
Spermophilus elegans	324.45	Ground	1	Colonial	NA	Yes	Yes	6.5	301.99	PanTHERIA	Nowak	PanTHERIA	ADW	NA	ADW
Spermophilus franklinii	457.64	Ground	NA	Colonial	NA	Yes	Yes	7.97	2179.42	PanTHERIA	Nowak	NA	ADW	NA	ADW
Spermophilus lateralis	175.1	Ground	NA	NonColonial	NA	Yes	Yes	6.5	NA	PanTHERIA	Nowak	NA	ADW	NA	ADW
