MSW05_Binomial	X26.1_GR_Area_km2	X26.2_GR_MaxLat_dd	X26.3_GR_MinLat_dd	X26.4_GR_MidRangeLat_dd	X26.5_GR_MaxLong_dd	X26.6_GR_MinLong_dd	X26.7_GR_MidRangeLong_dd	X27.1_HuPopDen_Min_n.km2	X27.2_HuPopDen_Mean_n.km2	X27.3_HuPopDen_5p_n.km2	X27.4_HuPopDen_Change	X28.1_Precip_Mean_mm	X28.2_Temp_Mean_01degC	X30.1_AET_Mean_mm	X30.2_PET_Mean_mm		
Ammospermophilus harrisii	309978.76	39.75	32.97	36.36	-104.65	-113.2	-108.93	0	10.66	0	0.12	25.94	94.34	418.21	1074.38		
Ammospermophilus insularis	269822.59	45.32	37.86	41.59	-104.96	-112.1	-108.53	0	3.48	0	0.09	25.55	38.37	378.76	811.5		
Ammospermophilus interpres	1823313.42	49.39	29.1	39.25	-96.06	-113.54	-104.8	0	8.1	0	0.05	35.98	108.78	523.53	901.88		
Ammospermophilus leucurus	586.55	25.2	24.38	24.79	-100.09	-101.29	-100.69	7	32.29	7	0.11	21.84	159.19	537.52	1017.82		
Ammospermophilus nelsoni	24425.78	39.42	37.55	38.49	-110.74	-113.75	-112.24	0	1.61	0	0.11	22.76	61.49	327.96	1000.42		
Cynomys gunnisoni	7838140.85	69.02	33.88	51.45	-55.61	-154.58	-105.1	0	10.56	0	0.05	50.42	-10.82	366.01	453.61		
Cynomys leucurus	3850610.98	48.1	13.7	30.9	-60.96	-108.69	-84.83	0	68.15	3	0.05	85.84	137.16	840.75	988.8		
Cynomys ludovicianus	217532.03	70.38	66.63	68.5	-140.01	-161.55	-150.78	0	0	0	NA	12.79	-143.48	149.06	145.86		
Cynomys mexicanus	2528757.24	70.36	44.81	57.58	-112.02	-166.83	-139.43	0	3.54	0	0.09	48.31	-52.81	270.59	326.85		
Cynomys parvidens	1718950.48	51.12	34.21	42.67	-100.84	-122.97	-111.9	0	7.19	0	0.08	30.39	59.47	365.04	793.12		
Glaucomys sabrinus	7599938.29	65.7	31.66	48.68	-55.61	-150.22	-102.92	0	26.15	0	0.03	58.82	26.7	497.36	549.09		
Glaucomys volans	5281.29	48	47.32	47.66	-123.04	-124.25	-123.64	1	10.97	1	0.13	165.7	85.33	481.96	686.62		
Marmota broweri	6678.32	49.51	48.38	48.95	-123.75	-125.34	-124.55	1	17.86	1	0.12	175.79	64.88	486	509		
Marmota caligata	97137.79	11.09	7.22	9.16	-76.81	-84.98	-80.9	2	38.87	3	0.1	231.32	249.45	1465.02	1707.87		
Marmota flaviventris	1724978.55	0.93	-15.3	-7.18	-61.51	-78.76	-70.14	0	3.09	0	0.1	202.49	248.12	1456.12	1518.99		
