HostCorrectedName	ParasiteCorrectedName	LocationName	Citation
Glaucomys sabrinus	Camincheyletus glaucomys	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Eucheyletia bishoppi	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Dermanyssus gallinoides	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Dermacarus tamiasciuri	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Gohieria sp.	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Androlaelaps casalis	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Androlaelaps fahrenholzi	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Hirstionyssus cynomys	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Echinonyssus longichelae	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Haemogamasus pontiger	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Haemogamasus reidi	Oregon	Whitaker, Jr. & Maser, 1985
Glaucomys sabrinus	Strongyloides robustus	Connecticut	Patrick, 1991a
Glaucomys sabrinus	Strongyloides robustus	Not reported	Weigl et al., 1992
Glaucomys sabrinus	Strongyloides robustus	Not reported	Wetzel & Weigl, 1994
Glaucomys sabrinus	Orchopeas nepos	Oregon	Eads et al., 1985
Glaucomys sabrinus	Strongyloides robustus	Connecticut	Bartlett, 1995
Glaucomys sabrinus	Syphacia thompsoni	Virginia	Pung et al., 2000
Glaucomys sabrinus	Strongyloides robustus	Virginia	Bartlett, 1995
Glaucomys sabrinus	Strongyloides robustus	Florida	Bartlett, 1995
Glaucomys sabrinus	Strongyloides robustus	Pennsylvania	Bartlett, 1995
Glaucomys sabrinus	Strongyloides robustus	North Carolina	Bartlett, 1995
Glaucomys sabrinus	Microphthirus uncinatus	British Columbia	Pung et al., 2000
Glaucomys sabrinus	Microphthirus uncinatus	California	Pung et al., 2000
Glaucomys sabrinus	Microphthirus uncinatus	Oregon	Pung et al., 2000
Glaucomys sabrinus	Microphthirus uncinatus	Minnesota	Pung et al., 2000
Glaucomys sabrinus	Hoplopleura trispinosa	North America	Pung et al., 2000
Glaucomys sabrinus	Neohaematopinus sciuropteri	North America	Pung et al., 2000
Glaucomys sabrinus	Epitedia faceta	Vermont	Pung et al., 2000
Glaucomys sabrinus	Conorhinopsylla stanfordi	Vermont	Pung et al., 2000
Glaucomys sabrinus	Dermacentor variabilis	Virginia	Pung et al., 2000
Glaucomys sabrinus	Ixodes marxi	Virginia	Pung et al., 2000
Glaucomys sabrinus	Ixodes scapularis	Virginia	Pung et al., 2000
Glaucomys sabrinus	Ixodes scapularis	Regions of Quebec	Bouchard et al 2011
Glaucomys sp.	Hoplopleura trispinosa	UNITED STATES	Durden et al., 1997
Glaucomys sp.	Opisodasys pseudarctomys	Tennessee	Durden & Kollars, Jr., 1997
Glaucomys volans	Lyssavirus sp.	UNITED STATES	Childs et al., 1997
Glaucomys volans	Ixodes scapularis	Wisconsin	Godsey, Jr. et al., 1987
Glaucomys volans	Rickettsia prowazekii	Florida	McDade, 1987
Glaucomys volans	Orchopeas howardii	UNITED STATES	McDade, 1987
Glaucomys volans	Conorhinopsylla stanfordi	UNITED STATES	McDade, 1987
Glaucomys volans	Opisodasys pseudarctomys	UNITED STATES	McDade, 1987
Glaucomys volans	Epitedia faceta	UNITED STATES	McDade, 1987
Glaucomys volans	Neohaematopinus sciuropteri	UNITED STATES	McDade, 1987
Glaucomys volans	Hoplopleura sciuricola	UNITED STATES	McDade, 1987
Glaucomys volans	Haemogamasus reidi	UNITED STATES	McDade, 1987
Glaucomys volans	Androlaelaps fahrenholzi	UNITED STATES	McDade, 1987
Glaucomys volans	Psorergates glaucomys	UNITED STATES	McDade, 1987
Glaucomys volans	Miyatrombicula esoensis	UNITED STATES	McDade, 1987
Glaucomys volans	Miyatrombicula cynos	UNITED STATES	McDade, 1987
Glaucomys volans	Neotrombicula harperi	UNITED STATES	McDade, 1987
Glaucomys volans	Neotrombicula fitchi	UNITED STATES	McDade, 1987
Glaucomys volans	Leptotrombidium sp.	UNITED STATES	McDade, 1987
Glaucomys volans	Ixodes marxi	UNITED STATES	McDade, 1987
Glaucomys volans	Dermacentor andersoni	UNITED STATES	McDade, 1987
Glaucomys volans	Moniliformis dubius	UNITED STATES	Archie et al., 1988
Glaucomys volans	Strongyloides robustus	Connecticut	Patrick, 1991a
Glaucomys volans	Capillaria americana	Indiana County, Pennsylvania	Patrick, 1991a
Glaucomys volans	Strongyloides robustus	Indiana County, Pennsylvania	Patrick, 1991a
Glaucomys volans	Citellinema bifurcatum	Indiana County, Pennsylvania	Patrick, 1991a
Glaucomys volans	Strongyloides robustus	Not reported	Weigl et al., 1992
Glaucomys volans	Strongyloides robustus	Not reported	Wetzel & Weigl, 1994
Glaucomys volans	Hoplopleura trispinosa	Shelby County, Tennessee	Durden et al., 1997
Glaucomys volans	Neohaematopinus sciuropteri	11km southwest of Nashville, Davidson County, Tennessee	Durden et al., 1997
Glaucomys volans	Orchopeas howardii	Tennessee	Durden & Kollars, Jr., 1997
Glaucomys volans	Ixodes scapularis	Van Cortlandt Park, New York City, New York	Daniels et al., 1997
Glaucomys volans	Opisodasys pseudarctomys	Dickinson County, approx. 13km east of Sagola, Michigan	Scharf & Lederle, 1998
Glaucomys volans	Orchopeas caedens	Dickinson County, approx. 13km east of Sagola, Michigan	Scharf & Lederle, 1998
Glaucomys volans	Rickettsia prowazekii	Florida	Moron et al., 2000
Glaucomys volans	Rickettsia prowazekii	Eastern United States	Regnery et al., 1986
Glaucomys volans	Enterobius sciuri	Not reported	Patrick & Wilson, 1995
Glaucomys volans	Ixodes scapularis	Naval Weapons Station, Earle, Monmouth County, New Jersey	Schulze et al., 1986
Glaucomys volans	Strongyloides robustus	Connecticut	Bartlett, 1995
Glaucomys volans	Strongyloides robustus	University Lodge on the Campus of Indiana Unversity of Pennsylvania	Patrick, 1991b
Glaucomys volans	Capillaria americana	University Lodge on the Campus of Indiana Unversity of Pennsylvania	Patrick, 1991b
Glaucomys volans	Citellinema bifurcatum	University Lodge on the Campus of Indiana Unversity of Pennsylvania	Patrick, 1991b
Glaucomys volans	Neohaematopinus sciuropteri	UNITED STATES	Pung et al., 2000
Glaucomys volans	Orchopeas howardii	UNITED STATES	Pung et al., 2000
Glaucomys volans	Neohaematopinus sciuropteri	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Hoplopleura trispinosa	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Microphthirus uncinatus	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Orchopeas howardii	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Amblyomma maculatum	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Ixodes scapularis	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Androlaelaps casalis	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Androlaelaps fahrenholzi	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Haemogamasus ambulans	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Leptotrombidium peromysci	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Moniliformis clarki	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Citellinema bifurcatum	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Strongyloides robustus	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Syphacia thompsoni	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Epitedia faceta	New York	Pung et al., 2000
Glaucomys volans	Conorhinopsylla stanfordi	New York	Pung et al., 2000
Glaucomys volans	Haemogamasus reidi	UNITED STATES	Pung et al., 2000
Glaucomys volans	Neotrombicula fitchi	Indiana County, Pennsylvania	Pung et al., 2000
Glaucomys volans	Syphacia thompsoni	Virginia	Pung et al., 2000
Glaucomys volans	Moniliformis clarki	Florida	Pung et al., 2000
Glaucomys volans	Citellinema bifurcatum	Northern United States	Pung et al., 2000
Glaucomys volans	Capillaria americana	Northern United States	Pung et al., 2000
Glaucomys volans	Enterobius sciuri	Northern United States	Pung et al., 2000
Glaucomys volans	Strongyloides robustus	Connecticut	Pung et al., 2000
Glaucomys volans	Catenotaenia pusilla	Connecticut	Pung et al., 2000
Glaucomys volans	Syphacia thompsoni	Florida	Pung et al., 2000
Glaucomys volans	Syphacia thompsoni	Pennsylvania	Pung et al., 2000
Glaucomys volans	Syphacia thompsoni	Virginia	Pung et al., 2000
Glaucomys volans	Syphacia thompsoni	Connecticut	Pung et al., 2000
Glaucomys volans	Strongyloides robustus	Florida	Pung et al., 2000
Glaucomys volans	Strongyloides robustus	Pennsylvania	Pung et al., 2000
Glaucomys volans	Moniliformis clarki	Florida	Pung et al., 2000
Glaucomys volans	Neotrombicula fitchi	New Jersey	Pung et al., 2000
Glaucomys volans	Enterobius sciuri	Fort Stewart Military Reservation, Georgia	Pung et al., 2000
Glaucomys volans	Lyssavirus sp.	Alabama	Fishbein et al., 1986
Glaucomys volans	Lyssavirus sp.	Maryland	Fishbein et al., 1986
Glaucomys volans	Lyssavirus sp.	Texas	Fishbein et al., 1986
Glaucomys volans	Lyssavirus sp.	Pennsylvania	Fishbein et al., 1986
Glaucomys volans	Rickettsia prowazekii	Virginia	McDade, 1987
Glaucomys volans	Rickettsia prowazekii	Virginia	Moron et al., 2000
Glaucomys volans	Psorergates glaucomys	Savannah, Georgia	Ah el at. 1973
Glaucomys volans	Rickettsia prowazekii	Near Montpelier, Virginia	Bozeman et al 1975
Glaucomys volans	Rickettsia prowazekii	Near Ashland, Virginia	Bozeman et al 1975
Glaucomys volans	Rickettsia prowazekii	Near Ashland, Virginia	Bozeman et al 1975
Glaucomys volans	Rickettsia prowazekii	Florida	Bozeman et al 1975
Glaucomys volans	Rickettsia prowazekii	Eastern United States	Chapman et al 2009
Glaucomys volans	Rickettsia prowazekii	Pennsylvania	Chapman et al 2009
Heliosciurus gambianus	Trypanosoma sciuri	FRENCH GUINEA	Ranque, 1977
Heliosciurus gambianus	Syphacia pearsi	Pelende, Bandudu	Hugot & Brochier, 1988
Heliosciurus gambianus	Syphacia pearsi	ZAIRE	Hugot & Brochier, 1988
Heliosciurus rufobrachium	Syphacia pearsi	NIGERIA	Hugot & Brochier, 1988
Heliosciurus rufobrachium	Syphacia pearsi	NIGERIA	Hugot & Brochier, 1988
Heliosciurus rufobrachium	Orthopoxvirus sp.	Not reported	Marennikova et al., 1989
Heliosciurus rufobrachium	Orthopoxvirus sp.	Not reported	Sainsbury et al., 2000
Spermophilus mexicanus	Trypanosoma cruzi	Uvalde County, Texas	Charles et al 2013
Lariscus insignis	Syphacia insignis	Ulu Endau, Johore	Inder Singh et al., 1987
Lariscus insignis	 Platynosomum muris	Ulu Endau, Johore	Inder Singh et al., 1987
Marmota baibacina	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota baibacina	Eimeria cynomysis	NORTH AMERICA	Wilber et al., 1998
Marmota baibacina	Eimeria lateralis	NORTH AMERICA and ASIA	Wilber et al., 1998
Marmota baibacina	Eimeria callospermophili	NORTH AMERICA and ASIA	Wilber et al., 1998
Marmota baibacina	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota baibacina	Eimeria surki	Alma-Ata, Kerekin area	Wilber et al., 1998
Marmota bobak	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota bobak	Eimeria cynomysis	NORTH AMERICA	Wilber et al., 1998
Marmota bobak	Eimeria lateralis	NORTH AMERICA and ASIA	Wilber et al., 1998
Marmota bobak	Eimeria callospermophili	NORTH AMERICA and ASIA	Wilber et al., 1998
Marmota bobak	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota bobak	Eimeria surki	Alma-Ata, Kerekin area	Wilber et al., 1998
Marmota bobak	Eimeria lateralis	Not reported	Wilber et al., 1998
Marmota caudata	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota flaviventris	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota flaviventris	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota flaviventris	Eimeria vilasi	NORTH AMERICA	Wilber et al., 1998
Marmota flaviventris	Eimeria spermophili	NORTH AMERICA	Wilber et al., 1998
Marmota flaviventris	Eimeria beecheyi	Not reported	Seville, 1997
Marmota flaviventris	Eimeria callospermophili	Not reported	Seville, 1997
Marmota flaviventris	Eimeria vilasi	not reported	Seville, 1997
Marmota marmota	Eimeria callospermophili	NORTH AMERICA and ASIA	Wilber et al., 1998
Marmota marmota	Eimeria arctomysi	Not reported	Wilber et al., 1998
Marmota marmota	Eimeria cynonymis	Not reported	Wilber et al., 1998
Marmota menzbieri	Eimeria callospermophili	KASACHSTAN	Wilber et al., 1998
Marmota menzbieri	Eimeria callospermophili	NORTH AMERICA and ASIA	Wilber et al., 1998
Marmota menzbieri	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota menzbieri	Eimeria monacis	Not reported	Wilber et al., 1998
Marmota monax	Oropsylla arctomys	Wisconsin, Indiana  and Iowa	Amin & Wagner, 1983
Marmota monax	Lyssavirus sp.	UNITED STATES	Childs et al., 1997
Marmota monax	Ixodes cookei	100 km radius around Guelph, Ontario	Barker et al., 1993
Marmota monax	Borrelia burgdorferi	100 km radius around Guelph, Ontario	Barker et al., 1993
Marmota monax	Lyssavirus sp.	Delaware	Moro et al., 1991
Marmota monax	Lyssavirus sp.	Maryland	Moro et al., 1991
Marmota monax	Lyssavirus sp.	Pennsylvania	Moro et al., 1991
Marmota monax	Lyssavirus sp.	Virginia	Moro et al., 1991
Marmota monax	Lyssavirus sp.	West Virginia	Moro et al., 1991
Marmota monax	Lyssavirus sp.	Maryland	Moro et al., 1991
Marmota monax	Oropsylla arctomys	UNITED STATES	Addison et al., 1978
Marmota monax	Eimeria lateralis	Not reported	Fleming et al., 1979
Marmota monax	Eimeria callospermophili	Not reported	Fleming et al., 1979
Marmota monax	Eimeria callospermophili	Not reported	Fleming et al., 1979
Marmota monax	Eimeria callospermophili	Not reported	Fleming et al., 1979
Marmota monax	Androlaelaps fahrenholzi	Not reported	Fleming et al., 1979
Marmota monax	Ixodes sp.	Not reported	Fleming et al., 1979
Marmota monax	Taenia crassiceps	Ontario	Fleming et al., 1979
Marmota monax	Taenia mustelae	Ontario	Fleming et al., 1979
Marmota monax	Dicrocoelium dendriticum	New York	Fleming et al., 1979
Marmota monax	Quinqueserialis hassalli	Wisconsin	Fleming et al., 1979
Marmota monax	Strongyloides sp.	Maryland	Fleming et al., 1979
Marmota monax	Capillaria hepatica	New York	Fleming et al., 1979
Marmota monax	Capillaria sp.	UNITED STATES	Fleming et al., 1979
Marmota monax	Baylisascaris laevis	Pennsylvania	Fleming et al., 1979
Marmota monax	Baylisascaris columnaris	Pennsylvania	Fleming et al., 1979
Marmota monax	Citellina triradiata	Maine	Fleming et al., 1979
Marmota monax	Passalurus ambiguus	New York	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Maine	Fleming et al., 1979
Marmota monax	Graphidium sp.	New York	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Minnesota	Fleming et al., 1979
Marmota monax	Trichostrongylus calcaratus	UNITED STATES	Fleming et al., 1979
Marmota monax	Heligmostomum sp.	New York	Fleming et al., 1979
Marmota monax	Physaloptera sp.	Ontario	Fleming et al., 1979
Marmota monax	Ackertia marmotae	Ontario	Fleming et al., 1979
Marmota monax	Eimeria callospermophili	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Eimeria callospermophili	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Eimeria callospermophili	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Eimeria lateralis	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Taenia crassiceps	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Taenia mustelae	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Ackertia marmotae	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Baylisascaris laevis	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Capillaria tamiasstriati	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Citellina triradiata	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Strongyloides sp.	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Trichostrongylus axei	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Androlaelaps fahrenholzi	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Enderleinellus marmotae	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Ixodes cookei	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Oropsylla arctomys	Tompkins County, Finger Lakes Region, New York	Fleming et al., 1979
Marmota monax	Oropsylla arctomys	Salcha River, 80km upstream from Tanana River, Alaska	Haas et al., 1982
Marmota monax	Orthohepadnavirus sp.	Not reported	Ponzetto et al., 1985
Marmota monax	Ixodes scapularis	Wisconsin	Godsey, Jr. et al., 1987
Marmota monax	Orthohepadnavirus sp.	Not reported	Korba et al., 1990
Marmota monax	Ixodes cookei	Not reported	Farkas & Surgeoner, 1991
Marmota monax	Klossia sp.	Pennsylvania	Seville et al., 1992
Marmota monax	Oropsylla arctomys	Pennsylvania	Serfass et al., 1992
Marmota monax	Orthohepadnavirus sp.	Not reported	Cullen et al., 1994
Marmota monax	Dermacentor variabilis	Kansas	Brillhart et al., 1994
Marmota monax	Baylisascaris sp.	Kentucky	Lyons et al., 2001
Marmota monax	Taenia crassiceps	Woodbridge, Ontario	Brojer et al., 2002
Marmota monax	Orthohepadnavirus sp.	Not reported	Shiga et al., 1991
Marmota monax	Toxoplasma gondii	Pennsylvania	Stewart et al., 1995
Marmota monax	Orthohepadnavirus sp.	Not reported	Mehrotra & Mehrotra, 1987
Marmota monax	Ixodes cookei	Eastern North America	Magnarelli & Swihart, 1991
Marmota monax	Ixodes cookei	Branford, Guilford, Hamden, and Southington, Connecticutt	Magnarelli & Swihart, 1991
Marmota monax	Borrelia burgdorferi	Branford, Guilford, Hamden, and Southington, Connecticutt	Magnarelli & Swihart, 1991
Marmota monax	Orthohepadnavirus sp.	Not reported	Hele et al., 1987
Marmota monax	Eimeria lateralis	Pennsylvania	Seville & Patrick, 2001
Marmota monax	Amblyomma americanum	Piney Campground, Land Between the Lakes, Tennessee	Zimmerman et al., 1988
Marmota monax	Dermacentor variabilis	Piney Campground, Land Between the Lakes, Tennessee	Zimmerman et al., 1988
Marmota monax	Ixodes cookei	Not reported	Farkas & Surgeoner, 1990
Marmota monax	Flavivirus sp.	Ontario	Farkas & Surgeoner, 1990
Marmota monax	Ixodes cookei	Guelph, Ontario	Farkas & Surgeoner, 1990
Marmota monax	Ixodes cookei	Guelph, Ontario	Farkas & Surgeoner, 1990
Marmota monax	Ixodes cookei	Guelph, Ontario	Farkas & Surgeoner, 1990
Marmota monax	Oropsylla arctomys	Guelph, Ontario	Farkas & Surgeoner, 1990
Marmota monax	Oropsylla arctomys	Guelph, Ontario	Farkas & Surgeoner, 1990
Marmota monax	Androlaelaps fahrenholzi	Guelph, Ontario	Farkas & Surgeoner, 1990
Marmota monax	Atheta sp.	Guelph, Ontario	Farkas & Surgeoner, 1990
Marmota monax	Ixodes cookei	Ontario	Farkas & Surgeoner, 1990
Marmota monax	Ixodes cookei	New York	Farkas & Surgeoner, 1990
Marmota monax	Eimeria callospermophili	NORTH AMERICA and KASACHSTAN	Wilber et al., 1998
Marmota monax	Eimeria cynomysis	NORTH AMERICA	Wilber et al., 1998
Marmota monax	Eimeria lateralis	NORTH AMERICA and ASIA	Wilber et al., 1998
Marmota monax	Eimeria callospermophili	Washington D.C.	Wilber et al., 1998
Marmota monax	Eimeria callospermophili	Near Ames, Iowa	Wilber et al., 1998
Marmota monax	Eimeria vilasi	NORTH AMERICA	Wilber et al., 1998
Marmota monax	Eimeria callospermophili	Not reported	Wilber et al., 1998
Marmota monax	Eimeria lateralis	Not reported	Wilber et al., 1998
Marmota monax	Eimeria callospermophili	Not reported	Wilber et al., 1998
Marmota monax	Taenia crassiceps	Central New York and Maryland	Anderson et al., 1990
Marmota monax	Cediopsylla simplex	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Ctenocephalides canis	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Ctenocephalides felis	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Pulex irritans	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Chaetopsylla lotoris	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Conorhinopsylla stanfordi	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Corrodopsylla curvata	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Ctenophthalmus pseudagyrtes	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Epitedia wenmanni	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Tamiophila grandis	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Megabothris acerbus	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Megabothris asio	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Megabothris sp.	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Oropsylla bruneri 	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Orchopeas howardii	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Orchopeas leucopus	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Oropsylla arctomys	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976b
Marmota monax	Toxoplasma gondii	Cambria, Pennsylvania	Stewart et al., 1995
Marmota monax	Toxoplasma gondii	Clearfield County, Pennsylvania	Stewart et al., 1995
Marmota monax	Toxoplasma gondii	Elk, Pennsylvania	Stewart et al., 1995
Marmota monax	Toxoplasma gondii	Indiana County, Pennsylvania	Stewart et al., 1995
Marmota monax	Toxoplasma gondii	Jefferson, Pennsylvania	Stewart et al., 1995
Marmota monax	Toxoplasma gondii	Lancaster County, Pennsylvania	Stewart et al., 1995
Marmota monax	Toxoplasma gondii	Lehigh, Pennsylvania	Stewart et al., 1995
Marmota monax	Toxoplasma gondii	Potter, Pennsylvania	Stewart et al., 1995
Marmota monax	Lyssavirus sp.	Virginia	Childs et al., 1997
Marmota monax	Lyssavirus sp.	New Hampshire	Childs et al., 1997
Marmota monax	Lyssavirus sp.	Illinois	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Iowa	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Tennessee	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Minnesota	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Iowa	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	North Dakota	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Virginia	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Iowa	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Minnesota	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Ohio	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Pennsylvania	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Virginia	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Virginia	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	West Virginia	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Wisconsin	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Delaware	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Indiana	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Maryland	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Minnesota	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Pennsylvania	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	South Dakota	Fishbein et al., 1986
Marmota monax	Lyssavirus sp.	Maryland	Fishbein et al., 1986
Marmota monax	Taenia crassiceps	CANADA	Fleming et al., 1979
Marmota monax	Taenia crassiceps	Pennsylvania	Fleming et al., 1979
Marmota monax	Taenia crassiceps	Maryland	Fleming et al., 1979
Marmota monax	Taenia crassiceps	New York	Fleming et al., 1979
Marmota monax	Capillaria hepatica	New Jersey	Fleming et al., 1979
Marmota monax	Baylisascaris laevis	Virginia	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	New York	Fleming et al., 1979
Marmota monax	Ackertia marmotae	CANADA	Fleming et al., 1979
Marmota monax	Ackertia marmotae	Connecticut	Fleming et al., 1979
Marmota monax	Taenia crassiceps	Maryland	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Michigan	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Minnesota	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Connecticut	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Maryland	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Pennsylvania	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Wisconsin	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Connecticut	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Iowa	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Maryland	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	Michigan	Fleming et al., 1979
Marmota monax	Citellinema bifurcatum	North Carolina	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Kentucky	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Missouri	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Ohio	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Maryland	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Maryland	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Missouri	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	New Jersey	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	New York	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Tennessee	Fleming et al., 1979
Marmota monax	Obeliscoides cuniculi	Washington D.C.	Fleming et al., 1979
Marmota monax	Orthohepadnavirus sp.	Southeastern Pennsylvania	Mehrotra et al., 1990
Marmota monax	Orthohepadnavirus sp.	New Jersey	Mehrotra et al., 1990
