HostCorrectedName	ParasiteCorrectedName	LocationName	Citation
Spermophilus dauricus	Citellophilus tesquorum	Wuningbatu Sumu, Zhengxiangbai Banner, Inner Mongolia	Li & Zhang, 1997
Spermophilus dauricus	Frontopsylla luculenta	Wuningbatu Sumu, Zhengxiangbai Banner, Inner Mongolia	Li & Zhang, 1997
Spermophilus dauricus	Neopsylla abagaitui	Wuningbatu Sumu, Zhengxiangbai Banner, Inner Mongolia	Li & Zhang, 1997
Spermophilus dauricus	Neopsylla bidentatiformis	Wuningbatu Sumu, Zhengxiangbai Banner, Inner Mongolia	Li & Zhang, 1997
Spermophilus franklinii	Ixodes cookei	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	Amin, 1976a
Spermophilus franklinii	Physaloptera spinicauda	Not reported	Babero 1973
Spermophilus fulvus	Orthopoxvirus sp.	TURKMENISTAN	Tsanava et al., 1989
Spermophilus fulvus	Streptopharagus kutassi	IRAN	Wertheim, 1993
Spermophilus lateralis	Citellina triradiata	Not reported	Babero 1973
Spermophilus lateralis	Colorado tick fever	Bitterroot Valley near Hamilton, Montana	Burgdorfer & Eklund 1960
Spermophilus lateralis	Dermacentor andersoni	Bitterroot Valley near Hamilton, Montana	Burgdorfer & Eklund 1960
Spermophilus lateralis	Colorado tick fever	Bitterroot Valley near Hamilton, Montana	Burgdorfer & Eklund 1960
Spermophilus lateralis	Staphylococcus aureus	North California	Campbell et al 1981
Spermophilus musicus	Haemogamasus mandschuricus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus musicus	Parasitus remberti	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus musicus	Halolaelaps sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus musicus	Cyrtolaelaps chiropterae	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus musicus	Proctolaelaps pygmaeus	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus musicus	Parasitus oudemansi	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus musicus	Trichouropoda sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Oribella pectinata	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
Spermophilus pygmaeus	Eucheyletia sp.	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	Lopatina et al., 1991
