HostCorrectedName	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	ParasiteType	CloseT	Sexual	Vertical	Nonclose	Vector	Intermediate
Spermophilus lateralis	Aetheca wagneri	Bend, Deschutes County, Oregon	-121.227	44.1466	2	2	Arthropod	1	0	0	1	0	0
Funisciurus anerythrus	Syphacia adami	CONGO	15.5	-1	2	4	Helminth						
Funisciurus pyrropus	Syphacia adami	CONGO	15.5	-1	2	4	Helminth						
Funisciurus lemniscatus	Syphacia adami	GABON	11.75	-1	2	4	Helminth						
Paraxerus cepapi	Syphacia cepapi	TRANSVAAL	28.1878	-25.7447	3	4	Helminth						
Protoxerus stangeri	Syphacia feeri	GABON	11.75	-1	2	4	Helminth						
Paraxerus palliatus	Syphacia paraxeri	ZIMBABWE	29.75	-19	2	4	Helminth						
Heliosciurus rufobrachium	Syphacia pearsi	NIGERIA	8	10	2	4	Helminth						
Heliosciurus gambianus	Syphacia pearsi	ZAIRE	23.5	-2.5	2	4	Helminth						
Heliosciurus rufobrachium	Syphacia pearsi	NIGERIA	8	10	2	4	Helminth						
Heliosciurus gambianus	Syphacia pearsi	Pelende, Bandudu	17.273	-6.48434	2	2	Helminth						
Callosciurus notatus	Allassogonoporus callosciuri	Sarawak, Borneo	113.001	2.55743	2	2	Helminth	0	0	0	0	0	1
Tamias townsendii	Alphalaelaps aplodontiae	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Sciurus niger	Amblyomma americanum	Kansas	-98.5006	38.5003	2	4	Arthropod	0	0	0	1	0	0
Marmota monax	Amblyomma americanum	Piney Campground, Land Between the Lakes, Tennessee	-88.06	36.777	2	2	Arthropod	0	0	0	1	0	0
Sciurus carolinensis	Amblyomma americanum	Piney Campground, Land Between the Lakes, Tennessee	-88.06	36.777	2	2	Arthropod	0	0	0	1	0	0
Tamias striatus	Amblyomma americanum	Naval Weapons Station, Earle, Monmouth County, New Jersey	-74.1343	40.299	3	2	Arthropod	0	0	0	1	0	0
Sciurus carolinensis	Amblyomma americanum	Naval Weapons Station, Earle, Monmouth County, New Jersey	-74.1343	40.299	3	2	Arthropod	0	0	0	1	0	0
Sciurus carolinensis	Amblyomma americanum	New Jersey	-74.4057	40.0583	2	3	Arthropod	0	0	0	1	0	0
Tamias striatus	Amblyomma americanum	New Jersey	-74.4057	40.0583	2	3	Arthropod	0	0	0	1	0	0
Glaucomys volans	Amblyomma maculatum	Fort Stewart Military Reservation, Georgia	-81	32	1	2	Arthropod	0	0	0	1	0	0
Tamias amoenus	Ceratophyllus ciliatus	Bend, Deschutes County, Oregon	-121.227	44.1466	2	2	Arthropod	1					
Spermophilus lateralis	Ceratophyllus ciliatus	Bend, Deschutes County, Oregon	-121.227	44.1466	2	2	Arthropod	1					
Glaucomys sabrinus	Androlaelaps casalis	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Tamias striatus	Androlaelaps casalis	11km southwest of Nashville, Davidson County, Tennessee	-86.8737	36.0937	2	2	Arthropod	0	0	0	1	0	0
Glaucomys volans	Androlaelaps casalis	Fort Stewart Military Reservation, Georgia	-81	32	1	2	Arthropod	0	0	0	1	0	0
Tamias striatus	Androlaelaps fahrenholzi	Tishomingo County, Mississippi	-88.2392	34.7403	2	2	Arthropod	0	0	0	1	0	0
Marmota monax	Androlaelaps fahrenholzi	Not reported					Arthropod	0	0	0	1	0	0
Marmota monax	Androlaelaps fahrenholzi	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2	Arthropod	0	0	0	1	0	0
Tamias amoenus	Androlaelaps fahrenholzi	Oregon, Union County	-118.009	45.3103	2	2	Arthropod	0	0	0	1	0	0
Spermophilus beecheyi	Androlaelaps fahrenholzi	Oregon, Curry County	-124.215	42.4664	2	2	Arthropod	0	0	0	1	0	0
Spermophilus beldingi	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Spermophilus lateralis	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Spermophilus townsendii	Androlaelaps fahrenholzi	Oregon, Malheur County	-117.623	43.1933	2	2	Arthropod	0	0	0	1	0	0
Spermophilus washingtoni	Androlaelaps fahrenholzi	Oregon, Morrow County	-119.584	45.4186	2	2	Arthropod	0	0	0	1	0	0
Tamias amoenus	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Glaucomys sabrinus	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Spermophilus beecheyi	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Spermophilus beldingi	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Spermophilus lateralis	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Spermophilus townsendii	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Spermophilus washingtoni	Androlaelaps fahrenholzi	Oregon	-120.554	43.8041	2	4	Arthropod	0	0	0	1	0	0
Glaucomys volans	Androlaelaps fahrenholzi	UNITED STATES	-95.7129	37.0902	2	4	Arthropod	0	0	0	1	0	0
Marmota monax	Androlaelaps fahrenholzi	Guelph, Ontario	-80.2482	43.5448	2	2	Arthropod	0	0	0	1	0	0
Glaucomys volans	Androlaelaps fahrenholzi	Fort Stewart Military Reservation, Georgia	-81	32	1	2	Arthropod	0	0	0	1	0	0
Tamias striatus	Chortoglyphus sciuricola	Tishomingo County, Mississippi	-88.2392	34.7403	2	2	Arthropod	0	0	0	1	0	0
Spermophilus undulatus	Paranoplocephala macrocephala	Ulan-Udensky Region	107.617	51.8333	3	4	Helminth	0	0	0	0	0	1
Spermophilus undulatus	Ascaris tarbagan	Baikal Lake Basin, Buryatskaya	109.04	53.38	3	4	Helminth	0	0	0	1	0	0
Sciurus vulgaris	Aspiculuris tetraptera	Brest and Gomel regions	27.453	52.348	4	4	Helminth	0	0	0	1	0	0
Marmota monax	Atheta sp.	Guelph, Ontario	-80.2482	43.5448	2	2	Arthropod	1	0	0	1	0	0
Tamias striatus	Balaustium sp.	11km southwest of Nashville, Davidson County, Tennessee	-86.8737	36.0937	2	2	Arthropod	0	0	0	1	0	0
Sciurus vulgaris	Bartonella sp.	Formby Sands	-3.08333	53.5667	1	1	Bacteria	0	0	1	0	1	0
Spermophilus beecheyi	Bartonella sp.	Idlewild Park, Washoe County, Nevada	-119.86	39.35	1	1	Bacteria	0	0	1	0	1	0
Spermophilus beecheyi	Bartonella sp.	Governor's Bowl Park,Washoe County, Nevada	-119.79	39.53	1	1	Bacteria	0	0	1	0	1	0
Spermophilus beecheyi	Bartonella sp.	Galena Creek Park, Washoe County, Nevada	-119.88	39.35	1	1	Bacteria	0	0	1	0	1	0
Spermophilus lateralis	Bartonella sp.	Galena Creek Park, Washoe County, Nevada	-119.88	39.35	1	1	Bacteria	0	0	1	0	1	0
Spermophilus lateralis	Bartonella sp.	Mount Rose Campground, Washoe County, Nevada	-119.89	39.31	1	1	Bacteria	0	0	1	0	1	0
Spermophilus beecheyi	Bartonella sp.	South Meadows Sports Complex, Washoe County, Nevada	-119.76	39.4	1	1	Bacteria	0	0	1	0	1	0
Spermophilus beecheyi	Bartonella sp.	South Meadows Sports Complex, Washoe County, Nevada	-119.76	39.4	1	1	Bacteria	0	0	1	0	1	0
Tamias minimus	Bartonella sp.	Vya Station, Washoe County, Nevada	-119.86	41.59	1	1	Bacteria	0	0	1	0	1	0
Tamias minimus	Bartonella sp.	Vya Station, Washoe County, Nevada	-119.86	41.59	1	1	Bacteria	0	0	1	0	1	0
Tamias minimus	Bartonella sp.	Virginia City Highlands, Storey County, Nevada	-119.63	39.39	1	1	Bacteria	0	0	1	0	1	0
Sciurus carolinensis	Bartonella vinsonii	Mere Sands	-2.83333	53.6333	1	1	Bacteria	0	0	1	0	1	0
Sciurus carolinensis	Bartonella vinsonii	Bulloch County, Georgia and Georgia Southern University in Statesboro	-81.7677	32.4556	2	1	Bacteria	0	0	1	0	1	0
Sciurus carolinensis	Bartonella vinsonii	Wirral peninsula	-3.08333	53.3333	2	2	Bacteria	0	0	1	0	1	0
Sciurus carolinensis	Bartonella vinsonii	New York1	-74	40.7	1	1	Bacteria	0	0	1	0	1	0
Marmota monax	Baylisascaris columnaris	Pennsylvania	-77.1945	41.2033	2	4	Helminth	0	0	0	1	0	0
Marmota monax	Baylisascaris laevis	Pennsylvania	-77.1945	41.2033	2	4	Helminth	0	0	0	1	0	0
Marmota monax	Baylisascaris laevis	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2	Helminth	0	0	0	1	0	0
Spermophilus undulatus	Baylisascaris laevis	Baikal Lake Basin, Buryatskaya	109.04	53.38	3	4	Helminth	0	0	0	1	0	0
Spermophilus undulatus	Baylisascaris laevis	Tuva	95.6262	51.8872	4	4	Helminth	0	0	0	1	0	0
Marmota monax	Baylisascaris laevis	Virginia	-80.5	38.5003	2	4	Helminth	0	0	0	1	0	0
Spermophilus undulatus	Baylisascaris laevis	Buryatia	109	53	2	4	Helminth	0	0	0	1	0	0
Sciurus carolinensis	Baylisascaris procyonis	Not reported					Helminth	0	0	0	1	0	0
Marmota monax	Baylisascaris sp.	Kentucky	-84.27	37.8393	2	4	Helminth	0	0	0	1	0	0
Tamias minimus	Borrelia bissettii	Pingree Park, Colorado	-105.675	40.67	1	1	Bacteria	0	0	0	1	1	0
Spermophilus lateralis	Borrelia bissettii	Pingree Park, Colorado	-105.675	40.67	1	1	Bacteria	0	0	0	1	1	0
Tamias striatus	Borrelia burgdorferi	Castle Rock State Park2, Illinois	-89.3333	42	1	2	Bacteria	0	0	0	0	1	0
Tamias striatus	Borrelia burgdorferi	Big Thompson Canyon and Cherokee Park	-105.45	40.6333	2	2	Bacteria	0	0	0	0	1	0
Tamias striatus	Borrelia burgdorferi	Spooner, Washburn County, Wisconsin	-91.8893	45.8224	2	2	Bacteria	0	0	0	0	1	0
Sciurus carolinensis	Borrelia burgdorferi	Spooner, Washburn County, Wisconsin	-91.8893	45.8224	2	2	Bacteria	0	0	0	0	1	0
Sciurus carolinensis	Borrelia burgdorferi	Wisconsin	-88.7879	43.7844	2	4	Bacteria	0	0	0	0	1	0
Tamias striatus	Borrelia burgdorferi	Not reported					Bacteria	0	0	0	0	1	0
Tamias striatus	Borrelia burgdorferi	Not reported					Bacteria	0	0	0	0	1	0
Tamias striatus	Borrelia burgdorferi	Dutchess County, NY	-73.75	41.8333	1	1	Bacteria	0	0	0	0	1	0
Tamias striatus	Borrelia burgdorferi	Not reported					Bacteria	0	0	0	0	1	0
Tamias striatus	Borrelia burgdorferi	East Lyme, Connecticut	-72.2295	41.3531	2	2	Bacteria	0	0	0	0	1	0
Sciurus carolinensis	Borrelia burgdorferi	UNITED STATES	-95.7129	37.0902	2	4	Bacteria	0	0	0	0	1	0
Marmota monax	Borrelia burgdorferi	Branford, Guilford, Hamden, and Southington, Connecticutt	-72.8037	41.393	4	2	Bacteria	0	0	0	0	1	0
Sciurus carolinensis	Borrelia burgdorferi	SWITZERLAND	8.01417	47	2	4	Bacteria	0	0	0	0	1	0
Sciurus vulgaris	Borrelia burgdorferi	Canton Neuchatel and Jura	7.06284	47.2673	3	2	Bacteria	0	0	0	0	1	0
Rhinosciurus laticaudatus	Breinlia sp.	Ulu Endau, Johore	103.368	2.5386	2	2	Helminth	0	0	0	0	1	0
Tamias sibiricus	Brevistriata bergerardi	Otaru, Hokkaido	140.995	43.1907	2	2	Helminth	0	0	0	1	0	0
Spermophilus armatus	Callistopsyllus sp.	Meeteetse, Park County, Wyoming2	-109.08	44.1833	2	2		1	0	0	1	0	0
Sciurus vulgaris	Capillaria hepatica	Brest and Gomel regions	27.453	52.348	4	4	Helminth	0	0	0	1	0	1
Marmota monax	Capillaria hepatica	New York	-74.0058	40.7142	2	2	Helminth	0	0	0	1	0	1
Marmota monax	Capillaria hepatica	New Jersey	-74.4057	40.0583	2	3	Helminth	0	0	0	1	0	1
Funambulus pennantii	Caloglyphus oudemansi	 Agricultural fields of CCS HAU Farm, Hisar	75.6819	29.1552	2	2							
Glaucomys sabrinus	Camincheyletus glaucomys	Oregon	-120.554	43.8041	2	4							
Glaucomys volans	Capillaria americana	Indiana County, Pennsylvania	-79.1097	40.6851	2	2	Helminth	0	0	0	1	0	1
