HostCorrectedName	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	ParasiteType	CloseT	Sexual	Vertical	Nonclose	Vector	Intermediate
Tamias striatus	Comatacarus americana	Tishomingo County, Mississippi	-88.2392	34.7403	2	2							
Glaucomys volans	Conorhinopsylla stanfordi	UNITED STATES	-95.7129	37.0902	2	4							
Glaucomys volans	Conorhinopsylla stanfordi	New York	-74.0058	40.7142	2	2							
Glaucomys sabrinus	Conorhinopsylla stanfordi	Vermont	-72.7497	44.0003	2	2							
Sciurus niger	Conorhinopsylla stanfordi	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	-87.8611	42.6617	1	2							
Tamias striatus	Cryptosporidium parvum	Louis Calder Center of Fordham University, Biological Field station, Westchester County in Armonk	-73.7315	41.1293	2	2	Protozoa	1	0	0	1	0	0
Spermophilus undulatus	Ctenophthalmus agyrtes	Jakupica: Gorno Begovo, Begovo Pole	21.4036	41.7041	2	3							
Spermophilus musicus	Ctenophthalmus golovi	Elbrus Region, Caucasus	42.4419	43.355	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Srem: Fruska Gora: Irig	19.8583	45.1011	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Srem: Fruska Gora: Jazak	19.7653	45.1191	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Crepaja, Banat	20.7944	44.9318	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Banat: Banatska Palanka	21.3333	44.85	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Banat: Zrenjanini, Orlovat, reka Tamis	20.5376	45.3266	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Banat: Melenci	20.3253	45.5221	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Deliblatska Pescara: Samos	21.1142	44.8939	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Deliblatska Pescara: Deliblato	21.1142	44.8939	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Deliblaska pescara: Coka	21.1142	44.8939	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Vlasina	22.245	42.8646	4	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Stara Planina: Ponor	22.8098	43.247	2	2							
Spermophilus undulatus	Ctenophthalmus orientalis	Jakupica: Gorno Begovo, Begovo Pole	21.4036	41.7041	2	3							
Tamiasciurus hudsonicus	Ctenophthalmus pseudagyrtes	19km outside Sherbrooke, Quebec	-71.8824	45.401	3	2							
Tamias striatus	Ctenophthalmus pseudagyrtes	19km outside Sherbrooke, Quebec	-71.8824	45.401	3	2							
Tamias striatus	Ctenophthalmus pseudagyrtes	11km southwest of Nashville, Davidson County, Tennessee	-86.8737	36.0937	2	2							
Tamias striatus	Ctenophthalmus pseudagyrtes	South Fox Island, Lake Michigan	-85.855	45.4172	2	2							
Tamias striatus	Ctenophthalmus pseudagyrtes	Davidson County, Tennessee	-86.7847	36.1694	2	2							
Tamias striatus	Ctenophthalmus pseudagyrtes	Tennessee	-86.5805	35.5175	2	4							
Tamias striatus	Ctenophthalmus pseudagyrtes	Dickinson County, approx. 13km east of Sagola, Michigan	-87.9086	46.0828	3	2							
Tamiasciurus hudsonicus	Ctenophthalmus pseudagyrtes	Iron County, 6km northwest of Channing, Michigan	-88.155	46.1774	3	2							
Tamias striatus	Ctenophthalmus pseudagyrtes	Kenosha County, Wisconsin, north of Pike River, south of Country Road A	-87.8611	42.6617	1	2							
Tamias striatus	Cuterebra sp.	Tishomingo County, Mississippi	-88.2392	34.7403	2	2	Arthropod	0	0	0	1	0	0
Spermophilus musicus	Cyrtolaelaps chiropterae	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Spermophilus pygmaeus	Cyrtolaelaps chiropterae	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Spermophilus pygmaeus	Dendrolaelaps disetosimils	Mountain plateau Bichesyn, near Elbrus, Karbada-Balkar	42.6442	43.2575	3	2							
Tamias striatus	Dermacarus hylandi	Tishomingo County, Mississippi	-88.2392	34.7403	2	2							
Tamias striatus	Dermacarus hylandi	11km southwest of Nashville, Davidson County, Tennessee	-86.8737	36.0937	2	2							
Tamias townsendii	Dermacarus jonesi	Oregon	-120.554	43.8041	2	4							
Spermophilus beldingi	Dermacarus reticulosus	Oregon	-120.554	43.8041	2	4							
Spermophilus beldingi	Dermacarus reticulosus	Oregon	-120.554	43.8041	2	4							
Spermophilus lateralis	Dermacarus spermophilus	Oregon	-120.554	43.8041	2	4							
Spermophilus townsendii	Dermacarus spermophilus	Oregon, Malheur County	-117.623	43.1933	2	2							
Tamias townsendii	Dermacarus spermophilus	Oregon	-120.554	43.8041	2	4							
Spermophilus lateralis	Dermacarus spermophilus	Oregon	-120.554	43.8041	2	4							
Spermophilus townsendii	Dermacarus spermophilus	Oregon	-120.554	43.8041	2	4							
Glaucomys sabrinus	Dermacarus tamiasciuri	Oregon	-120.554	43.8041	2	4							
Tamiasciurus douglasii	Dermacarus tamiasciuri	Oregon	-120.554	43.8041	2	4							
Glaucomys volans	Dermacentor andersoni	UNITED STATES	-95.7129	37.0902	2	4	Arthropod	1	0	0	1	0	0
Tamias minimus	Dermacentor andersoni	Moraine Park in Rocky Mountain National Park, Colorado	-105.603	40.3533	2	2	Arthropod	1	0	0	1	0	0
Spermophilus lateralis	Dermacentor andersoni	Moraine Park in Rocky Mountain National Park, Colorado	-105.603	40.3533	2	2	Arthropod	1	0	0	1	0	0
Spermophilus elegans	Dermacentor andersoni	Moraine Park in Rocky Mountain National Park, Colorado	-105.603	40.3533	2	2	Arthropod	1	0	0	1	0	0
Tamias minimus	Dermacentor andersoni	Beaver Meadow transect, Rocky Mountain National Park, Colorado	-105.651	40.8421	2	2	Arthropod	1	0	0	1	0	0
Spermophilus lateralis	Dermacentor andersoni	Beaver Meadow transect, Rocky Mountain National Park, Colorado	-105.651	40.8421	2	2	Arthropod	1	0	0	1	0	0
Spermophilus elegans	Dermacentor andersoni	Beaver Meadow transect, Rocky Mountain National Park, Colorado	-105.651	40.8421	2	2	Arthropod	1	0	0	1	0	0
Tamias minimus	Dermacentor andersoni	Pingree Park, Colorado	-105.675	40.67	1	1	Arthropod	1	0	0	1	0	0
Spermophilus lateralis	Dermacentor andersoni	Pingree Park, Colorado	-105.675	40.67	1	1	Arthropod	1	0	0	1	0	0
Spermophilus lateralis	Dermacentor andersoni	Bitterroot Valley near Hamilton, Montana	-114.16	46.2467	2	3	Arthropod	1	0	0	1	0	0
Spermophilus columbianus	Dermacentor andersoni	Bitterroot Valley near Hamilton, Montana	-114.16	46.2467	2	3	Arthropod	1	0	0	1	0	0
Tamias amoenus	Dermacentor andersoni	Bitterroot Valley near Hamilton, Montana	-114.16	46.2467	2	3	Arthropod	1	0	0	1	0	0
Tamias striatus	Dermacentor variabilis	Tishomingo County, Mississippi	-88.2392	34.7403	2	2	Arthropod	1	0	0	1	0	0
Cynomys ludovicianus	Dermacentor variabilis	Kansas	-98.5006	38.5003	2	4	Arthropod	1	0	0	1	0	0
Marmota monax	Dermacentor variabilis	Kansas	-98.5006	38.5003	2	4	Arthropod	1	0	0	1	0	0
Sciurus niger	Dermacentor variabilis	Kansas	-98.5006	38.5003	2	4	Arthropod	1	0	0	1	0	0
Sciurus carolinensis	Dermacentor variabilis	Piney Campground, Land Between the Lakes, Tennessee	-88.06	36.777	2	2	Arthropod	1	0	0	1	0	0
Sciurus carolinensis	Dermacentor variabilis	Naval Weapons Station, Earle, Monmouth County, New Jersey	-74.1343	40.299	3	2	Arthropod	1	0	0	1	0	0
Glaucomys sabrinus	Dermacentor variabilis	Virginia	-80.5	38.5003	2	4	Arthropod	1	0	0	1	0	0
Glaucomys sabrinus	Dermanyssus gallinoides	Oregon	-120.554	43.8041	2	4							
Marmota monax	Dicrocoelium dendriticum	New York	-74.0058	40.7142	2	2	Helminth	0	0	0	0	0	1
Sciurus vulgaris	Dicrocoelium dendriticum	Brest and Gomel regions	27.453	52.348	4	4	Helminth	0	0	0	0	0	1
Funambulus pennantii	Dorisa bengalensis	South of Howrah town, Howrah Region, West Bengal	88.2636	22.5958	2	2							
Tamias townsendii	Hirstionyssus affinis	Oregon	-120.554	43.8041	2	4							
Glaucomys sabrinus	Hirstionyssus cynomys	Oregon	-120.554	43.8041	2	4							
Glaucomys sabrinus	Echinonyssus longichelae	Oregon	-120.554	43.8041	2	4							
Tamias striatus	Anaplasma phagocytophilum	Minneapolis-St. Paul, Minnesota	-93.2037	44.9378	2	3							
Tamias minimus	Ehrlichia sp.	Pingree Park, Colorado	-105.675	40.67	1	1							
Spermophilus lateralis	Ehrlichia sp.	Pingree Park, Colorado	-105.675	40.67	1	1							
Spermophilus townsendii	Eimeria vilasi	Idaho	-114.742	44.0682	2	4							
Spermophilus townsendii	Eimeria vilasi	Not reported											
Cynomys ludovicianus	Eimeria vilasi	Casper, Wyoming	-106.333	42.8333	3	2							
Cynomys leucurus	Eimeria vilasi	Hutton Lake Wildlife Refuge, Laramie, Wyoming	-105.667	41.8333	1	1							
Tamias canipes	Eimeria vilasi	Eddy County, New Mexico	-104.304	32.4714	2	3							
Tamias dorsalis	Eimeria vilasi	3.2km N.E. of Rustler Park, Cochise County, Arizona	-109.268	31.9144	2	2							
Tamias merriami	Eimeria vilasi	Los Angeles County, California	-118.112	34.3872	2	3							
Tamias obscurus	Eimeria vilasi	Baja California Norte	-115.284	30.8406	2	4							
Tamias townsendii	Eimeria vilasi	Clallan County, Washington	-123.934	48.1103	2	3							
Tamias dorsalis	Eimeria vilasi	Not reported											
Tamias canipes	Eimeria vilasi	Lincoln County, New Mexico	-105.459	33.745	2	3							
Tamias merriami	Eimeria vilasi	Riverside County, California	-117.401	33.9533	2	3							
Tamias obscurus	Eimeria vilasi	Riverside County, California	-117.401	33.9533	2	3							
Tamias obscurus	Eimeria vilasi	San Bernardino County, California	-117.29	34.1083	2	4							
Spermophilus elegans	Eimeria vilasi	Wyoming, irrigated alfalfa-brome field, 10km south of Laramie	-105.55	41.2	1	1							
Spermophilus elegans	Eimeria vilasi	Xeric cold desert shrub-steppe, 14km north of Baggs, Wyoming	-107.75	41.2	1	1							
Spermophilus lateralis	Eimeria vilasi	Colorado	-105.501	39.0003	2	4							
Cynomys leucurus	Eimeria vilasi	Southeastern Wyoming	-105.78	42.076	3	4							
Cynomys gunnisoni	Eimeria vilasi	Southeastern Utah	-110.037	38.152	3	3							
Cynomys gunnisoni	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Cynomys leucurus	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Cynomys ludovicianus	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Marmota flaviventris	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus elegans	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus lateralis	Eimeria vilasi	Moraine Park in Rocky Mountain National Park, Colorado	-105.603	40.3533	2	2							
Spermophilus elegans	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus townsendii	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus tridecemlineatus	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus variegatus	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Cynomys ludovicianus	Eimeria vilasi	Casper, Wyoming	-106.333	42.8333	3	2							
Marmota flaviventris	Eimeria vilasi	Not reported											
Cynomys leucurus	Eimeria vilasi	Hutton Lake Wildlife Refuge, Laramie, Wyoming	-105.667	41.8333	1	1							
Spermophilus elegans	Eimeria vilasi	11km south of Laramie Wyoming	-105.4	41.2	2	1							
Cynomys leucurus	Eimeria vilasi	11km south of Laramie Wyoming	-105.4	41.2	2	1							
Tamias striatus	Eimeria vilasi	Wisconsin	-88.7879	43.7844	2	4							
Tamias striatus	Eimeria vilasi	Massachusetts	-71.3824	42.4072	2	3							
Tamias striatus	Eimeria vilasi	Armstrong County, Pennsylvania	-79.5167	40.9	1	1							
Tamias merriami	Eimeria vilasi	California	-119.418	36.7779	2	4							
Tamias obscurus	Eimeria vilasi	Baja California Norte	-115.284	30.8406	2	4							
Cynomys ludovicianus	Eimeria vilasi	Wyoming	-107.29	43.076	2	4							
Cynomys leucurus	Eimeria vilasi	Wyoming	-107.29	43.076	2	4							
Spermophilus townsendii	Eimeria vilasi	Idaho	-114.742	44.0682	2	4							
Tamias striatus	Eimeria vilasi	Massachusetts	-71.3824	42.4072	2	3							
Tamias striatus	Eimeria vilasi	Wisconsin	-88.7879	43.7844	2	4							
Cynomys leucurus	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Cynomys ludovicianus	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Marmota monax	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus mexicanus	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus townsendii	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Tamias canipes	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Tamias dorsalis	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Tamias merriami	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Tamias obscurus	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Tamias striatus	Eimeria vilasi	Trout Lake, Vilas County, Wisconsin	-89.6503	46.048	3	2							
Tamias townsendii	Eimeria vilasi	NORTH AMERICA	-105.255	54.526	2	4							
Spermophilus fulvus	Eimeria airculensis	Aktiabinsk region, Irgizski area	57.2069	50.2794	3	4							
Sciurus vulgaris	Eimeria andrewsi	BULGARIA	25.4858	42.7339	2	4							
Sciurus vulgaris	Eimeria andrewsi	CZECHOSLOVAKIA	18.0768	49.0422	2	4							
Sciurus vulgaris	Eimeria andrewsi	ENGLAND	-1.17432	52.3555	2	4							
Sciurus vulgaris	Eimeria andrewsi	HUNGARY	19.5033	47.1625	2	4							
Sciurus vulgaris	Eimeria andrewsi	Soviet Union	98	60	3	4							
Marmota marmota	Eimeria arctomysi	Not reported											
Sciurus carolinensis	Eimeria ascotensis	ENGLAND	-1.17432	52.3555	2	4							
Sciurus niger	Eimeria ascotensis	Indiana	-86.2503	40.0003	2	4							
Sciurus carolinensis	Eimeria ascotensis	ENGLAND	-1.17432	52.3555	2	4							
Sciurus vulgaris	Eimeria ascotensis	CZECHOSLOVAKIA	18.0768	49.0422	2	4							
Tamias sibiricus	Eimeria beecheyi	JAPAN	138.253	36.2048	2	4							
Tamias sibiricus	Eimeria beecheyi	Not reported											
Spermophilus elegans	Eimeria beecheyi	Wyoming, irrigated alfalfa-brome field, 10km south of Laramie	-105.55	41.2	1	1							
Spermophilus elegans	Eimeria beecheyi	Xeric cold desert shrub-steppe, 14km north of Baggs, Wyoming	-107.75	41.2	1	1							
Spermophilus beecheyi	Eimeria beecheyi	California	-119.418	36.7779	2	4							
Spermophilus relictus	Eimeria beecheyi	USSR	98	60	3	4							
Spermophilus tridecemlineatus	Eimeria beecheyi	Laramie, Wyoming1	-105.55	41.2	1	1							
Spermophilus tridecemlineatus	Eimeria beecheyi	Gillette, Wyoming	-105.517	44.2833	1	1							
Spermophilus elegans	Eimeria beecheyi	Laramie, Wyoming1	-105.55	41.2	1	1							
Cynomys leucurus	Eimeria beecheyi	Laramie, Wyoming1	-105.55	41.2	1	1							
Cynomys leucurus	Eimeria beecheyi	Southeastern Wyoming	-105.78	42.076	3	4							
Cynomys gunnisoni	Eimeria beecheyi	Southeastern Utah	-110.037	38.152	3	3							
Cynomys gunnisoni	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Cynomys leucurus	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Cynomys ludovicianus	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Marmota flaviventris	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Spermophilus beecheyi	Eimeria beecheyi	Lake County, near Nevada City, California	-121.016	39.2614	3	2							
Spermophilus elegans	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Spermophilus relictus	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Spermophilus elegans	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Spermophilus townsendii	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Spermophilus tridecemlineatus	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Spermophilus undulatus	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Spermophilus variegatus	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Tamias canipes	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Tamias dorsalis	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Tamias obscurus	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Tamias townsendii	Eimeria beecheyi	NORTH AMERICA and KASACHSTAN											
Cynomys ludovicianus	Eimeria beecheyi	Casper, Wyoming	-106.333	42.8333	3	2							
Marmota flaviventris	Eimeria beecheyi	Not reported											
Cynomys leucurus	Eimeria beecheyi	Hutton Lake Wildlife Refuge, Laramie, Wyoming	-105.667	41.8333	1	1							
Spermophilus elegans	Eimeria beecheyi	11km south of Laramie Wyoming	-105.4	41.2	2	1							
Cynomys leucurus	Eimeria beecheyi	11km south of Laramie Wyoming	-105.4	41.2	2	1							
Tamias canipes	Eimeria beecheyi	Eddy County, New Mexico	-104.304	32.4714	2	3							
Tamias dorsalis	Eimeria beecheyi	3.2km N.E. of Rustler Park, Cochise County, Arizona	-109.268	31.9144	2	2							
Tamias obscurus	Eimeria beecheyi	Riverside County, California	-117.401	33.9533	2	3							
Tamias townsendii	Eimeria beecheyi	Clallan County, Washington	-123.934	48.1103	2	3							
Tamias dorsalis	Eimeria beecheyi	Not reported											
Tamias canipes	Eimeria beecheyi	Lincoln County, New Mexico	-105.459	33.745	2	3							
Spermophilus beldingi	Eimeria beckeri	EUROPE and ASIA											
Spermophilus erythrogenys	Eimeria beckeri	EUROPE and ASIA											
Spermophilus fulvus	Eimeria beckeri	EUROPE and ASIA											
Spermophilus pygmaeus	Eimeria beckeri	Crimea	34	45	2	3							
Spermophilus relictus	Eimeria beckeri	EUROPE and ASIA											
Spermophilus undulatus	Eimeria beckeri	EUROPE and ASIA											
Spermophilus fulvus	Eimeria beckeri	Not reported											
Spermophilus beldingi	Eimeria lateralis	Not reported											
Cynomys ludovicianus	Eimeria lateralis	Northern Colorado	-105.538	40.0718	2	4							
Cynomys leucurus	Eimeria lateralis	Wyoming	-107.29	43.076	2	4							
Spermophilus tridecemlineatus	Eimeria lateralis	Wyoming	-107.29	43.076	2	4							
Spermophilus armatus	Eimeria lateralis	Utah	-111.751	39.25	2	4							
Spermophilus armatus	Eimeria lateralis	Montana	-109.751	47	2	4							
Spermophilus variegatus	Eimeria lateralis	Utah	-111.751	39.25	2	4							
Cynomys leucurus	Eimeria lateralis	Meeteetse, Park County, Wyoming1	-109.083	44.1283	1	2							
Spermophilus sp.	Eimeria lateralis	Not reported											
Cynomys leucurus	Eimeria lateralis	Not reported											
Cynomys ludovicianus	Eimeria lateralis	Not reported											
Spermophilus elegans	Eimeria lateralis	Wyoming, irrigated alfalfa-brome field, 10km south of Laramie	-105.55	41.2	1	1							
Spermophilus elegans	Eimeria lateralis	Xeric cold desert shrub-steppe, 14km north of Baggs, Wyoming	-107.75	41.2	1	1							
Cynomys ludovicianus	Eimeria lateralis	Larimer County, Colorado	-105.461	40.6664	2	2							
Spermophilus armatus	Eimeria lateralis	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus armatus	Eimeria lateralis	Montana	-109.751	47	2	4							
Spermophilus variegatus	Eimeria lateralis	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus tridecemlineatus	Eimeria lateralis	Southeastern Wyoming	-105.78	42.076	3	4							
Spermophilus lateralis	Eimeria lateralis	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus beecheyi	Eimeria lateralis	California	-119.418	36.7779	2	4							
Cynomys leucurus	Eimeria lateralis	Southeastern Wyoming	-105.78	42.076	3	4							
Spermophilus spilosoma	Eimeria lateralis	Colorado	-105.501	39.0003	2	4							
Spermophilus tridecemlineatus	Eimeria lateralis	Laramie, Wyoming1	-105.55	41.2	1	1							
Spermophilus tridecemlineatus	Eimeria lateralis	Gillette, Wyoming	-105.517	44.2833	1	1							
Spermophilus elegans	Eimeria lateralis	Laramie, Wyoming1	-105.55	41.2	1	1							
Cynomys ludovicianus	Eimeria lateralis	Not reported											
Cynomys leucurus	Eimeria lateralis	Not reported											
Cynomys gunnisoni	Eimeria lateralis	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus lateralis	Eimeria lateralis	Utah	-111.751	39.25	2	4							
Spermophilus beecheyi	Eimeria lateralis	California	-119.418	36.7779	2	4							
Spermophilus elegans	Eimeria lateralis	11km south of Laramie Wyoming	-105.4	41.2	2	1							
Tamias striatus	Eimeria lateralis	Armstrong County, Pennsylvania	-79.5167	40.9	1	1							
Cynomys ludovicianus	Eimeria lateralis	Wyoming	-107.29	43.076	2	4							
Cynomys leucurus	Eimeria lateralis	Wyoming	-107.29	43.076	2	4							
Marmota monax	Eimeria lateralis	Pennsylvania	-77.1945	41.2033	2	4							
Spermophilus beldingi	Eimeria lateralis	California	-119.418	36.7779	2	4							
Spermophilus columbianus	Eimeria lateralis	Alberta	-117.469	52.2833	2	4							
Spermophilus elegans	Eimeria lateralis	Wyoming	-107.29	43.076	2	4							
Spermophilus elegans	Eimeria lateralis	Wyoming	-107.29	43.076	2	4							
Spermophilus elegans	Eimeria lateralis	Alberta	-117.469	52.2833	2	4							
Spermophilus elegans	Eimeria lateralis	Alberta	-117.469	52.2833	2	4							
Spermophilus townsendii	Eimeria lateralis	Idaho	-114.742	44.0682	2	4							
Spermophilus tridecemlineatus	Eimeria lateralis	Wyoming	-107.29	43.076	2	4							
Tamias striatus	Eimeria lateralis	Massachusetts	-71.3824	42.4072	2	3							
Tamias striatus	Eimeria lateralis	Wisconsin	-88.7879	43.7844	2	4							
Cynomys gunnisoni	Eimeria lateralis	NORTH AMERICA and ASIA											
Cynomys leucurus	Eimeria lateralis	NORTH AMERICA and ASIA											
Cynomys ludovicianus	Eimeria lateralis	NORTH AMERICA and ASIA											
Marmota baibacina	Eimeria lateralis	NORTH AMERICA and ASIA											
Marmota bobak	Eimeria lateralis	NORTH AMERICA and ASIA											
Marmota monax	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus armatus	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus beecheyi	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus beldingi	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus columbianus	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus elegans	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus lateralis	Eimeria lateralis	Point Imperial on the northern rim of the Grand Canyon, Arizona	-111.984	36.2788	2	2							
Spermophilus elegans	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus spilosoma	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus townsendii	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus tridecemlineatus	Eimeria lateralis	NORTH AMERICA and ASIA											
Spermophilus variegatus	Eimeria lateralis	NORTH AMERICA and ASIA											
Tamias obscurus	Eimeria lateralis	NORTH AMERICA and ASIA											
Tamias striatus	Eimeria lateralis	NORTH AMERICA and ASIA											
Cynomys ludovicianus	Eimeria lateralis	Casper, Wyoming	-106.333	42.8333	3	2							
Cynomys leucurus	Eimeria lateralis	Hutton Lake Wildlife Refuge, Laramie, Wyoming	-105.667	41.8333	1	1							
Marmota bobak	Eimeria lateralis	Not reported											
Marmota monax	Eimeria lateralis	Not reported											
Marmota monax	Eimeria lateralis	Tompkins County, Finger Lakes Region, New York	-76.4736	42.4519	2	2							
Marmota monax	Eimeria lateralis	Not reported											
Tamias striatus	Eimeria lateralis	Wisconsin	-88.7879	43.7844	2	4							
Tamias striatus	Eimeria lateralis	Massachusetts	-71.3824	42.4072	2	3							
Tamias obscurus	Eimeria lateralis	Baja California Norte	-115.284	30.8406	2	4							
Tamias striatus	Eimeria lateralis	Not reported											
Spermophilus fulvus	Eimeria berkinbaevi	Alma- Ata, Chimkiant and Kzyl-Ordin regions	69.774	43.1408	4	4							
Spermophilus erythrogenys	Eimeria berkinbaevi	Alma- Ata, Chimkiant and Kzyl-Ordin regions	69.774	43.1408	4	4							
Spermophilus sp.	Eimeria cynomysis	Not reported											
Spermophilus elegans	Eimeria cynomysis	Wyoming, irrigated alfalfa-brome field, 10km south of Laramie	-105.55	41.2	1	1							
Spermophilus elegans	Eimeria cynomysis	Xeric cold desert shrub-steppe, 14km north of Baggs, Wyoming	-107.75	41.2	1	1							
Spermophilus lateralis	Eimeria cynomysis	California	-119.418	36.7779	2	4							
Spermophilus undulatus	Eimeria cynomysis	HUNGARY	19.5033	47.1625	2	4							
Spermophilus undulatus	Eimeria cynomysis	CZECHOSLOVAKIA	18.0768	49.0422	2	4							
Spermophilus franklinii	Eimeria cynomysis	Iowa	-93.0977	41.878	2	4							
Spermophilus armatus	Eimeria cynomysis	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus armatus	Eimeria cynomysis	Southeastern Wyoming	-105.78	42.076	3	4							
Spermophilus beecheyi	Eimeria cynomysis	California	-119.418	36.7779	2	4							
Spermophilus variegatus	Eimeria cynomysis	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus tridecemlineatus	Eimeria cynomysis	Laramie, Wyoming1	-105.55	41.2	1	1							
Spermophilus tridecemlineatus	Eimeria cynomysis	Gillette, Wyoming	-105.517	44.2833	1	1							
Spermophilus elegans	Eimeria cynomysis	Laramie, Wyoming1	-105.55	41.2	1	1							
Cynomys leucurus	Eimeria cynomysis	Laramie, Wyoming1	-105.55	41.2	1	1							
Cynomys leucurus	Eimeria cynomysis	Southeastern Wyoming	-105.78	42.076	3	4							
Cynomys gunnisoni	Eimeria cynomysis	Southeastern Utah	-110.037	38.152	3	3							
Spermophilus lateralis	Eimeria cynomysis	Not reported											
Cynomys leucurus	Eimeria cynomysis	Hutton Lake Wildlife Refuge, Laramie, Wyoming	-105.667	41.8333	1	1							
Spermophilus elegans	Eimeria cynomysis	11km south of Laramie Wyoming	-105.4	41.2	2	1							
Cynomys leucurus	Eimeria cynomysis	11km south of Laramie Wyoming	-105.4	41.2	2	1							
Cynomys ludovicianus	Eimeria cynomysis	Northern Colorado	-105.538	40.0718	2	4							
Cynomys leucurus	Eimeria cynomysis	Meeteetse, Park County, Wyoming1	-109.083	44.1283	1	2							
Cynomys ludovicianus	Eimeria cynomysis	Not reported											
Cynomys gunnisoni	Eimeria cynomysis	Southeastern Utah	-110.037	38.152	3	3							
Cynomys gunnisoni	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Cynomys leucurus	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Cynomys ludovicianus	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Cynomys sp.	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus armatus	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus beecheyi	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus undulatus	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus columbianus	Eimeria cynomysis	NORTH AMERICA and EUROPE											
Spermophilus elegans	Eimeria cynomysis	NORTH AMERICA and EUROPE											
